Номер ОУ,Полное наименование ОУ по Уставу,Краткое наименование,Адрес электронной почты,Адрес ОУ,Должность руководителя,ФИО руководителя,Тип ОУ,Вид ОУ,Телефон,Район,Подведомственность,"""Статус сервиса """"Электронный дневник""""""",ОГРН,Адрес электронной почты из Параграф.Регион,Адрес сайта в сети Интернет,Название,Адрес сайта,Город,Улица,Дом,Литерал,Корпус,Индекс,Сайт инициализирован,Сайт ОО,Код здания ФИАС,Тип местности,Часы работы,Юридический адрес через код здания ФИАС,Организационно-правовая форма,Статус,Тип группы ОВЗ,Тип питания,Официальный сайт,Старый ОГРН,ОКТМО
30,"Государственное бюджетное общеобразовательное учреждение ""Санкт-Петербургский губернаторский физико-математический лицей №30""",ГБОУ лицей №30,fml3000@mail.ru,"Санкт-Петербург г, Шевченко ул, 23, А, 2, 199406",Директор,Третьяков Алексей Андреевич,Общеобразовательные учреждения,Лицей,8-812-355-88-57,Комитет по образованию Санкт-Петербурга,Комитет по образованию Санкт-Петербурга,"",1027800551130,fml3000@mail.ru,http://www.school30.spb.ru,ГОУ СОШ ФМЛ №30,http://www.school30.spb.ru,Санкт-Петербург г,Шевченко ул,23,"",2,199406,"","",00000000-0000-0000-0000-000000000000,"","","","","","","","","",""
547,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №547 Красносельского района Санкт-Петербурга,ГБОУ СОШ №547,info@school547.ru,"Санкт-Петербург г, Адмирала Коновалова ул, 6, 2, 198328",Директор,Малая Анна Геннадьевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-409-87-97,Красносельский,Красносельский,"",1147847043717,"",http://www.school547.ru,"",www.school547.ru,Санкт-Петербург г,Адмирала Коновалова ул,6,"",2,198328,"","",00000000-0000-0000-0000-000000000000,"","","","","","","","","",""
488,Государственное бюджетное общеобразовательное учреждение лицей № 488 Выборгского района Санкт -Петербурга,ГБОУ лицей №488,488@shko.la,"Санкт-Петербург г, Просвещения пр-кт, 32, А, 4, 194358",Директор,Осеннова Наталья Юрьевна,Общеобразовательные учреждения,Лицей,8-812-515-35-71,Выборгский,Выборгский,"",1027801583820,488@shko.la,http://licey488.spb.ru,ГОУ лицей №488,licey488.spb.ru,Санкт-Петербург г,Просвещения пр-кт,32,"",4,194358,"","","","","","","","","","","","",""
296,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 296 Фрунзенского района Санкт-Петербурга,ГБОУ СОШ №296,school296@edu-frn.spb.ru,"Санкт-Петербург г, Пражская ул, 30, A, 1, 192238",Директор,Алексеева Светлана Анатольевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-269-13-02,Фрунзенский,Фрунзенский,"",1027807992794,dou296@edu-frn.spb.ru,http://school296.ru,ГОУ СОШ №296,school296.ru,Санкт-Петербург г,Пражская ул,30,"",1,192238,"","",00000000-0000-0000-0000-000000000000,Городская,7.00-19.00,"192241, Санкт-Петербург г, Турку ул, д 28, корп 3, литер А",Государственная,Функционирует,Нарушения речи,GJCNFDRF,"","",""
589,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №589 Колпинского района Санкт-Петербурга,ГБОУ СОШ №589,shcola589@gmail.com,"Санкт-Петербург г, Колпино г, Тверская ул, 62, А, 196655",Исполняющий обязанности директора,Понтякова Елена Владимировна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-463-86-12,Колпинский,Колпинский,"",1027808758229,sсhool589@spb.edu.ru,http://589spb.edusite.ru,ГОУ СОШ №589,http://589spb.edusite.ru,"Санкт-Петербург г, Колпино г",Тверская ул,62,"","",196655,"","","","","","","","","","","","",""
381,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №381 Кировского района Санкт-Петербурга,ГБОУ СОШ №381,sc381@kirov.spb.ru,"Санкт-Петербург г, Зои Космодемьянской ул, 4, А, 198095",Директор,Копунова Анна Анатольевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-786-43-33,Кировский,Кировский,"",1027802728018,sc381@kirov.spb.ru,http://www.kirov.spb.ru/sc/381,ГОУ СОШ №381,http://www.kirov.spb.ru/sc/381,Санкт-Петербург г,Зои Космодемьянской ул,4,"","",198095,"","","","","","","","","","","","",""
378,Государственное бюджетное общеобразовательное учреждение лицей №378 Кировского района Санкт-Петербурга,ГБОУ лицей №378,sc378@kirov.spb.ru,"Санкт-Петербург г, Ветеранов пр-кт, 114, А, 2, 198261",Директор,Ковалюк Светлана Юрьевна,Общеобразовательные учреждения,Лицей,8-812-417-51-79,Кировский,Кировский,"",1037811024349,sc378@kirov.spb.ru,http://www.kirov.spb.ru/sc/378,ГОУ лицей №378,http://www.kirov.spb.ru/sc/378,Санкт-Петербург г,Ветеранов пр-кт,114,"",2,198261,"","","","","","","","","","","","",""
578,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 578 Приморского района Санкт-Петербурга,ГБОУ СОШ №578,primschool578@mail.ru,"Санкт-Петербург г, Комендантский пр-кт, 37, А, 3, 197350",Директор,Зимина Елена Ивановна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-306-70-78,Приморский,Приморский,"",1027807586234,school578@spb.edu.ru,http://gousosh578.rprim.gov.spb.ru/,ГОУ СОШ №578,http://gousosh578.rprim.gov.spb.ru/,Санкт-Петербург г,Комендантский пр-кт,37,"",3,197350,"","","","","","","","","","","","",""
69,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 69 Калининского района Санкт-Петербурга,ГБОУ СОШ №69,school69@inbox.ru,"Санкт-Петербург г, Культуры пр-кт, 27, А, 3, 195276",Директор,Этнис Владислав Исаакович,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-558-55-22,Калининский,Калининский,"",1027802496809,school69@inbox.ru,http://www.school69.ru/,ГОУ СОШ № 69,http://www.school69.ru/,Санкт-Петербург г,Культуры пр-кт,27,"",3,195276,Да,ГБОУ СОШ №69,"","","","","","","","","","",""
316,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 316 с углубленным изучением английского языка Фрунзенского района Санкт-Петербурга,ГБОУ СОШ №316,school316@edu-frn.spb.ru,"Санкт-Петербург г, Софийская ул, 34, А, 3, 192236",Директор,Акиньшина Елена Аркадьевна,Общеобразовательные учреждения,Средняя общеобразовательная школа с углубленным изучением предмета,8-812-409-83-84,Фрунзенский,Фрунзенский,"",1027807992838,sc316-spb@yandex.ru,http://school316.spb.ru,ГОУ СОШ №316,school316.spb.ru,Санкт-Петербург г,Софийская ул,34,"",3,192236,"","",00000000-0000-0000-0000-000000000000,"","","","","","","","","",""
522,Государственное бюджетное общеобразовательное учреждение школа № 522 Адмиралтейского района Санкт-Петербурга,ГБОУ школа №522,sc522@adm-edu.spb.ru,"Санкт-Петербург г, Малодетскосельский пр-кт, 17-1934, А, 190013",Директор,Елизарова Юлия Геннадьевна,"Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии",Специальная (коррекционная) общеобразовательная школа,8-812-573-96-46,Адмиралтейский,Адмиралтейский,"",1027810287999,school522@spb.edu.ru,http://school522.ru/,ГС(К) ОУ№522,http://school522.ru/,Санкт-Петербург г,Малодетскосельский пр-кт,17-1934,"","",190013,"","",00000000-0000-0000-0000-000000000000,"","","","","","","","","",""
625,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №625 с углубленным изучением математики Невского района Санкт-Петербурга имени Героя Российской Федерации В.Е.Дудкина,ГБОУ СОШ №625,school625@mail.ru,"Санкт-Петербург г, Джона Рида ул, 6, А, 193318",Директор,Хмелевцева Любовь Леонидовна,Общеобразовательные учреждения,Средняя общеобразовательная школа с углубленным изучением предмета,8-812-442-12-97,Невский,Невский,"",1037825003743,school625@mail.ru,https://625school.ru,ГОУ СОШ №625 (матем),https://625school.ru,Санкт-Петербург г,Джона Рида ул,6,"","",193318,Нет,ГБОУ СОШ №625,00000000-0000-0000-0000-000000000000,Городская,07.00-19.00,"",Государственная,Функционирует,Нет групп ОВЗ,организация,"","",""
536,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 536 имени Т.И.Гончаровой Московского района Санкт-Петербурга,ГБОУ СОШ №536,info@school536.ru,"Санкт-Петербург г, Космонавтов пр-кт, 20, А, 4, 196244",Директор,Дремин Дмитрий Владимирович,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-379-03-53,Московский,Московский,"",1037821046273,school536@spb.edu.ru,http://www.school536.ru,ГОУ СОШ №536,http://www.school536.ru,Санкт-Петербург г,Космонавтов пр-кт,20,"",4,196244,"","","","","","","","","","","","",""
21,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 21 Василеостровского района Санкт-Петербурга им. Э.П.Шаффе,ГБОУ СОШ №21,spbschool021@yandex.ru,"Санкт-Петербург г, 5-я В.О. линия, 16/17, А, 199004",Директор,Ачкасова Юлия Ивановна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-323-25-57,Василеостровский,Василеостровский,"",1037800018695,school021@spb.edu.ru,http://spbschool21.ru,ГБОУ СОШ №21,spbschool21.ru,Санкт-Петербург г,5-я В.О. линия,16/17,"","",199004,"","",00000000-0000-0000-0000-000000000000,Городская,7.00-21.00,11111111111111111111111111111111,Государственная,Функционирует,Нарушения речи,организация,"","",""
446,Государственное бюджетное общеобразовательное учреждение гимназия №446 Колпинского района Санкт-Петербурга,ГБОУ гимназия №446,gym446@petersburgedu.ru,"Санкт-Петербург г, Колпино г, Заводской пр-кт, 18, А, 2, 196657",Директор,Лев Игорь Альбертович,Общеобразовательные учреждения,Гимназия,8-812-481-33-94,Колпинский,Колпинский,"",1027808757250,gym446@spb.edu.ru,http://gu163.site.gov.spb.ru,ГОУ гимназия №446,http://gu163.site.gov.spb.ru,"Санкт-Петербург г, Колпино г",Заводской пр-кт,18,"",2,196657,"","","","","","","","","","","","",""
306,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 306 с углубленным изучением английского языка Адмиралтейского района Санкт-Петербурга,ГБОУ СОШ №306,sc306@adm-edu.spb.ru,"Санкт-Петербург г, Верейская ул, 20, А, 190013",Директор,Мушкудиани Ирина Геннадьевна,Общеобразовательные учреждения,Средняя общеобразовательная школа с углубленным изучением предмета,8-812-316-16-66,Адмиралтейский,Адмиралтейский,"",1027810332307,school306@spb.edu.ru,http://sc306.narod.ru,ГОУ СОШ №306,http://sc306.narod.ru,Санкт-Петербург г,Верейская ул,20,"","",190013,"","","","","","","","","","","","",""
513,Государственное бюджетное общеобразовательное учреждение гимназия №513 Невского района Санкт-Петербурга,ГБОУ гимназия №513,gimnazia513@mail.ru,"Санкт-Петербург г, Латышских Стрелков ул, 9, А, 3, 193231",Директор,Анисимова Светлана Александровна,Общеобразовательные учреждения,Гимназия,8-812-417-26-68,Невский,Невский,"",1027806066034,school513@spb.edu.ru,http://www.school513.ru,ГОУ гимназия №513,http://www.school513.ru,Санкт-Петербург г,Латышских Стрелков ул,9,"",3,193231,"","",00000000-0000-0000-0000-000000000000,"","","",Государственная,Функционирует,"","","","",""
68,"Государственное бюджетное общеобразовательное учреждение для детей, нуждающихся в длительном лечении, школа-интернат № 68 Пушкинского района Санкт-Петербурга",ГБОУ ШИ №68,68internat@gmail.com,"Санкт-Петербург г, Павловск г, Садовая ул, 51, А, 196621",Директор,Кутчиева Лидия Борисовна,Общеобразовательные школы-интернаты,Общеобразовательная школа-интернат основного общего образования,8-812-417-63-36,Пушкинский,Пушкинский,"",1027809010041,int68@mail.edu.ru,http://www.int68.spb.ru,ГОУ СШИ №68,www.int68.spb.ru,"Санкт-Петербург г, Павловск г",Садовая ул,51,"","",196621,"","",00000000-0000-0000-0000-000000000000,"","","","","","","","","",""
684,"Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 684 ""Берегиня"" Московского района Санкт-Петербурга","ГБОУ СОШ №684 ""Берегиня""",school684@bk.ru,"Санкт-Петербург г, Пулковское ш, 5, А, 3, 196240",Директор,Ковтун Владимир Викторович,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-573-97-18,Московский,Московский,"",1117847367164,school684@spb.edu.ru,http://www.bereginia.spb.ru,ГОУ НШДС №684,www.bereginia.spb.ru,Санкт-Петербург г,Пулковское ш,5,"",3,196240,"","",00000000-0000-0000-0000-000000000000,Городская,8:00-20:00,"196247 Санкт-Петербург г, Краснопутиловская ул, 60 А",Государственная,Функционирует,Нарушения речи,организация,"",2047815007436,""
485,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №485 с углубленным изучением французского языка Московского района Санкт-Петербурга,ГБОУ СОШ №485,school485spb@yandex.ru,"Санкт-Петербург г, Авиационная ул, 38, А, 196135",Директор,Петрова Александра Михайловна,Общеобразовательные учреждения,Средняя общеобразовательная школа с углубленным изучением предмета,8-812-417-54-43,Московский,Московский,"",1027804895150,school485@spb.edu.ru,http://school485.ru,ГОУ СОШ №485,school485.ru,Санкт-Петербург г,Авиационная ул,38,"","",196135,"","","","","","","","","","","","",""
548,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 548 с углубленным изучением английского языка Красносельского района Санкт-Петербурга,ГБОУ СОШ №548,school548@yandex.ru,"Санкт-Петербург г, Маршала Казакова ул, 30, А, 198332",Директор,Харитонова Алла Геннадьевна,Общеобразовательные учреждения,Средняя общеобразовательная школа с углубленным изучением предмета,8-812-743-48-49,Красносельский,Красносельский,"",1027804607995,school548@yandex.ru,http://www.sc548.ru,ГОУ СОШ №548 (англ),www.sc548.ru,Санкт-Петербург г,Маршала Казакова ул,30,"","",198332,"","","","","","","","","","","","",""
272,Государственное бюджетное общеобразовательное учреждение Гимназия № 272 Адмиралтейского района Санкт-Петербурга,ГБОУ Гимназия №272,sc272@adm-edu.spb.ru,"Санкт-Петербург г, 8-я Красноармейская ул, 3, А, 190103",Директор,Калмыкова Галина Андреевна,Общеобразовательные учреждения,Гимназия,8-812-251-16-49,Адмиралтейский,Адмиралтейский,"",1027810347773,school272@spb.edu.ru,http://www.gymn272.spb.ru,ГОУ Гимназия №272,www.gymn272.spb.ru,Санкт-Петербург г,8-я Красноармейская ул,3,"","",190103,"","","","","","","","","","","","",""
354,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №354 Московского района Санкт-Петербурга,ГБОУ СОШ №354,school354-spb@mail.ru,"Санкт-Петербург г, Взлетная ул, 5, А, 1, 196210",Директор,Шнырикова Людмила Авенировна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-417-54-23,Московский,Московский,"",1037821022040,school354@spb.edu.ru,http://school354.spb.ru,ГОУ СОШ №354,school354.spb.ru,Санкт-Петербург г,Взлетная ул,5,"",1,196210,"","","","","","","","","","","","",""
526,Государственное бюджетное общеобразовательное учреждение гимназия № 526 Московского района Санкт-Петербурга,ГБОУ гимназия №526,info@s526.spb.ru,"Санкт-Петербург г, Алтайская ул, 15, А, 196066",Директор,Белаш Наталья Александровна,Общеобразовательные учреждения,Гимназия,8-812-246-25-84,Московский,Московский,"",1027804906700,school526@spb.edu.ru.,http://www.s526.spb.ru,ГОУ гимназия №526,www.s526.spb.ru,Санкт-Петербург г,Алтайская ул,15,"","",196066,"","","","","","","","","","","","",""
"","Государственное бюджетное учреждение дополнительного профессионального педагогического образования центр повышения квалификации специалистов ""Информационно-методический центр"" Невского района Санкт-Петербурга",ГБУ ДППО ЦПКС ИМЦ Невского района,nmc.nevarono@mail.ru,"Санкт-Петербург г, Бабушкина ул, 42, А, 4, 192171",Директор,Осипенко Галина Ивановна,Образовательные учреждения дополнительного профессионального образования,"Курсы (школы, центры) повышения квалификации",8-812-560-49-10,"",Невский,"",1027806063174,"",http://imc-nev.ru,"",http://imc-nev.ru,Санкт-Петербург г,Бабушкина ул,42,"",4,192171,"","","","","","","","","","","","",""
212,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №212 Фрунзенского района Санкт-Петербурга,ГБОУ СОШ №212,school212@edu-frn.spb.ru,"Санкт-Петербург г, Ярослава Гашека ул, 9, 2, 192283",Директор,Кузьмина Марина Владимировна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-771-87-67,Фрунзенский,Фрунзенский,"",1037835020079,school212@spb.edu.ru,http://school212.ru,ГОУ СОШ №212,school212.ru,Санкт-Петербург г,Ярослава Гашека ул,9,"",2,192283,"","","","","","","","","","","","",""
640,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 640 Приморского района Санкт-Петербурга,ГБОУ СОШ №640,primschool-640@school640.ru,"Санкт-Петербург г, Савушкина ул, 111, А, 2, 197374",Директор,Бернацкая Валентина Антоновна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-431-04-18,Приморский,Приморский,"",1027807586740,school640@spb.edu.ru,http://office.school640.ru,ГОУ СОШ №640,http://office.school640.ru,Санкт-Петербург г,Савушкина ул,111,"",2,197374,"","","","","","","","","","","","",""
185,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 185 с углубленным изучением английского языка Центрального района Санкт-Петербурга,ГБОУ СОШ №185,sch185@center-edu.spb.ru,"Санкт-Петербург г, Шпалерная ул, 33, 191123",Директор,Гурьянова Юлия Викторовна,Общеобразовательные учреждения,Средняя общеобразовательная школа с углубленным изучением предмета,8-812-272-13-29,Центральный,Центральный,"",1027809246046,sch185@center-edu.spb.ru,http://sch185.petersburgedu.ru,ГОУ СОШ №185 (англ),sch185.petersburgedu.ru,Санкт-Петербург г,Шпалерная ул,33,"","",191123,Нет,ГБОУ СОШ №185,00000000-0000-0000-0000-000000000000,Городская,"","","","","","","","",""
385,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №385 Красносельского района Санкт-Петербурга,ГБОУ СОШ №385,school385@mail.ru,"Санкт-Петербург г, Пионерстроя ул, 9, А, 1, 198206",Директор,Архипова Татьяна Владимировна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-417-63-62,Красносельский,Красносельский,"",1027804607577,school385@mail.ru,http://www.school385.ru/,ГОУ СОШ №385,http://www.school385.ru/,Санкт-Петербург г,Пионерстроя ул,9,"",1,198206,"","","","","","","","","","","","",""
324,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 324 Курортного района Санкт-Петербурга,ГБОУ СОШ №324,info@school324.ru,"Санкт-Петербург г, Сестрорецк г, Приморское ш, 308, А, 197701",Директор,Петрук Дина Антоновна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-417-31-85,Курортный,Курортный,"",1027812402386,lessons324@mail.ru,http://www.324school.spb.ru,ГОУ СОШ №324,www.324school.spb.ru,"Санкт-Петербург г, Сестрорецк г",Приморское ш,308,"","",197701,"","","","","","","","","","","","",""
430,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №430 Петродворцового района Санкт-Петербурга,ГБОУ СОШ №430,school430lom@mail.ru,"Санкт-Петербург г, Ломоносов г, Скуридина ул, 6, А, 198412",Директор,Горбунова Евдокия Васильевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-417-38-52,Петродворцовый,Петродворцовый,"",1027808914210,school430lom@mail.ru,http://school430.ru,ГБОУ школа № 430,http://school430.ru,"Санкт-Петербург г, Ломоносов г",Скуридина ул,6,"","",198412,"","","","","","","","","","","","",""
439,Государственное бюджетное общеобразовательное учреждение школа № 439 Петродворцового района Санкт-Петербурга,ГБОУ №439,skosh439@mail.ru,"Санкт-Петербург г, Петергоф г, Блан-Менильская ул, 5, А, 198516",Директор,Гнездилова Виктория Николаевна,"Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии",Специальная (коррекционная) общеобразовательная школа,8-812-417-38-56,Петродворцовый,Петродворцовый,"",1027808913219,skosh439@mail.ru,http://cor439.petersburgedu.ru,ГОУ СКОШ № 439,cor439.petersburgedu.ru,"Санкт-Петербург г, Петергоф г",Блан-Менильская ул,5,"","",198516,Да,ГБОУ №439,"","","","","","","","","","",""
293,Государственное бюджетное общеобразовательное учреждение гимназия № 293 Красносельского района Санкт-Петербурга,ГБОУ гимназия №293,gaivenisnat@yandex.ru,"Санкт-Петербург г, Ленинский пр-кт, 94, А, 2, 198332",Директор,Баева Инна Геннадьевна,Общеобразовательные учреждения,Гимназия,8-812-751-26-61,Красносельский,Красносельский,"",1027804599085,gaivenisnat@yandex.ru,http://www.293.spb.ru,ГОУ гимназия №293,www.293.spb.ru,Санкт-Петербург г,Ленинский пр-кт,94,"",2,198332,"","","","","","","","","","","","",""
455,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 455 с углубленным изучением английского языка Колпинского района Санкт-Петербурга,ГБОУ СОШ №455,school455_spb@mail.ru,"Санкт-Петербург г, Колпино г, Тверская ул, 13, А, 196655",Директор,Зимина Любовь Викторовна,Общеобразовательные учреждения,Средняя общеобразовательная школа с углубленным изучением предмета,8-812-417-30-38,Колпинский,Колпинский,"",1027808757877,school455@spb.edu.ru,http://455spb.edusite.ru,ГОУ СОШ №455(англ),http://455spb.edusite.ru,"Санкт-Петербург г, Колпино г",Тверская ул,13,"","",196655,"","","","","","","","","","","","",""
498,Государственное бюджетное общеобразовательное учреждение гимназия №498 Невского района Санкт-Петербурга,ГБОУ гимназия №498,school498@bk.ru,"Санкт-Петербург г, Новоселов ул, 21, Ш, 193079",Директор,Медведь Нина Владимировна,Общеобразовательные учреждения,Гимназия,8-812-446-18-57,Невский,Невский,"",1027806082765,school498@bk.ru,http://www.gym498.ru,ГОУ гимназия №498,http://www.gym498.ru,Санкт-Петербург г,Новоселов ул,21,"","",193079,"","","","","","","","","","","","",""
620,Государственное бюджетное общеобразовательное учреждение начальная школа- детский сад № 620 Центрального района Санкт-Петербурга `РОСТОК`,ГБОУ НШДС №620,sch620@center-edu.spb.ru,"Санкт-Петербург г, Ковенский пер, 10, А, а, 191014",Директор,Гордеева Елена Георгиевна,Образовательные учреждения для детей дошкольного и младшего школьного возраста,Начальная школа - детский сад,8-812-272-11-52,Центральный,Центральный,"",1047841026177,sch620@center-edu.spb.ru,http://school620rostok.ucoz.ru,ГБОУ НШ-ДС №620,http://school620rostok.ucoz.ru,Санкт-Петербург г,Ковенский пер,10,"",а,191014,Нет,ГБОУ НШДС №620,00000000-0000-0000-0000-000000000000,Городская,8.00-20.00,"",Государственная,Функционирует,Нет групп ОВЗ,организация,"","",""
350,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №350 Невского района Санкт-Петербурга,ГБОУ СОШ №350,350@gou.spb.ru,"Санкт-Петербург г, Тельмана ул, 34, Б, 193230",Директор,Мельников Дмитрий Сергеевич,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-446-43-98,Невский,Невский,"",1037825011586,school350@spb.edu.ru,http://school350spb.ru,ГОУ СОШ №350,http://school350spb.ru,Санкт-Петербург г,Тельмана ул,34,"","",193230,"","","","","","","","","","","","",""
"","Государственное бюджетное учреждение дополнительного образования ""Дом детского творчества ""Левобережный"" Невского района Санкт-Петербурга","ГБУ ДО ДДТ ""Левобережный""",ldtu@mail.ru,"Санкт-Петербург г, Бабушкина ул, 56, Д, 2, 192131",Директор,Васильева Вера Николаевна,Образовательные учреждения  дополнительного образования детей,Дом,8-812-362-11-38,"",Невский,"",1027806081720,"",http://ddtl.spb.ru,"",http://ddtl.spb.ru,Санкт-Петербург г,Бабушкина ул,56,"",2,192131,"","","","","","","","","","","","",""
177,Государственное бюджетное общеобразовательное учреждение гимназия № 177 Красногвардейского района Санкт-Петербурга,ГБОУ гимназия №177,gimnspb177@gmail.com,"Санкт-Петербург г, Ириновский пр-кт, 23, А, 2, 195279",Директор,Голованова Нели Николаевна,Общеобразовательные учреждения,Гимназия,8-812-417-26-28,Красногвардейский,Красногвардейский,"",1037816029547,gimnspb177@gmail.com,http://177spb.edusite.ru,ГОУ гимназия №177,http://177spb.edusite.ru,Санкт-Петербург г,Ириновский пр-кт,23,"",2,195279,Да,ГБОУ гимназия №177,"","","","","","","","","","",""
591,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 591 Невского района Санкт-Петербурга,ГБОУ СОШ №591,shkola591@yandex.ru,"Санкт-Петербург г, Большевиков пр-кт, 28, А, 193232",Директор,Чепёлкина Людмила Петровна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-585-11-02,Невский,Невский,"",1037825007131,shkola591@yandex.ru,http://591.gou.spb.ru,ГОУ СОШ №591,http://591.gou.spb.ru,Санкт-Петербург г,Большевиков пр-кт,28,"","",193232,"","",00000000-0000-0000-0000-000000000000,"","","","","","","","","",""
512,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 512 Невского района Санкт-Петербурга,ГБОУ СОШ №512,school512@mail.ru,"Санкт-Петербург г, Народная ул, 44, С, 193315",Директор,Тихонова Галина Александровна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-446-15-46,Невский,Невский,"",1037825002049,school512@mail.ru,http://www.school512.ru,ГОУ СОШ №512,http://www.school512.ru,Санкт-Петербург г,Народная ул,44,"","",193315,Да,ГБОУ СОШ №512,"","","","","","","","","","",""
459,Государственное Бюджетное Общеобразовательное Учреждение средняя общеобразовательная школа № 459 Пушкинского района Санкт-Петербурга,ГБОУ СОШ №459,GOU459@ya.ru,"Санкт-Петербург г, Первомайская ул, 6, А, 196626",Директор,Суенкова Александра Валентиновна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-382-87-58,Пушкинский,Пушкинский,"",1027809003617,GOU459@ya.ru,http://Shkola459.my1.ru,ГОУ СОШ №459,Shkola459.my1.ru,Санкт-Петербург г,Первомайская ул,6,"","",196626,"","","","","","","","","","","","",""
618,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №618 Приморского района Санкт-Петербурга,ГБОУ СОШ №618,primschool618@gmail.com,"Санкт-Петербург г, Гаккелевская ул, 24, А, 197372",Директор,Иванова Любовь Ивановна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-395-43-07,Приморский,Приморский,"",1027807584023,school618@spb.edu.ru,http://www.school618.ru,ГОУ СОШ №618,http://www.school618.ru,Санкт-Петербург г,Гаккелевская ул,24,"","",197372,"","","","","","","","","","","","",""
635,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 635 Приморского района Санкт-Петербурга,ГБОУ CОШ №635,school635teacher@mail.ru,"Санкт-Петербург г, Планерная ул, 73, А, 1, 197373",Директор,Пименова Екатерина Сергеевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-246-02-01,Приморский,Приморский,"",1027807585300,school635@spb.edu.ru,http://school635.spb.ru,ГОУ СОШ №635,http://school635.spb.ru,Санкт-Петербург г,Планерная ул,73,"",1,197373,"","",00000000-0000-0000-0000-000000000000,Городская,07.00-19.00,00000000-0000-0000-0000-000000000000‏,"",Функционирует,Нет групп ОВЗ,поставка,"","",""
326,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №326 Невского района Санкт-Петербурга,ГБОУ СОШ №326,school326@yandex.ru,"Санкт-Петербург г, Александровской фермы пр-кт, 11, П, 192174",Директор,Николаева Алла Юрьевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-417-56-87,Невский,Невский,"",1037825005096,school326@yandex.ru,http://www.school-326.ru,ГОУ СОШ №326,http://www.school-326.ru,Санкт-Петербург г,Александровской фермы пр-кт,11,"","",192174,Да,ГБОУ СОШ №326,"","","","","","","","","","",""
